"row_type","legacy_name","legacy_purpose","product_call_sites","observed_behavior","reliability_status","evidence","intended_behavior","decision","new_tool_equivalent","replacement_status","notes"
"tool","superset_auth_authenticate_user","Authenticate to Superset and cache bearer token","backend/ai_agent.py prompt instruction; full legacy tool surface exposed to LLM","Logs in via /api/v1/security/login, writes .superset_token, returns token preview fields","known_bad","Code in superset-mcp/main.py; no product test should preserve token echo","Product should authenticate via built-in MCP transport and Superset user context without exposing tokens","drop","","drop","Do not preserve token echo or token-file caching"
"tool","superset_auth_check_token_validity","Check cached token validity","backend/ai_agent.py full tool exposure only","Calls /api/v1/me and returns valid bool plus raw user payload","unknown","Source code only; no confirmed product dependency","Health and auth state should come from MCP transport or instance health tooling, not a token checker tool","drop","","drop","No confirmed product-facing need"
"tool","superset_auth_refresh_token","Refresh cached bearer token","backend/ai_agent.py full tool exposure only","Calls /api/v1/security/refresh and returns a new access token","known_bad","Source code shows refresh response returns token material","Product should not refresh sidecar tokens through a tool","drop","","drop","Do not preserve token-returning behavior"
"tool","superset_dashboard_list","List dashboards","backend/ai_agent.py browse flows","Raw GET /api/v1/dashboard response with no normalization","known_good","Simple REST wrapper; dashboard browsing is a product requirement","List accessible dashboards with stable metadata and pagination/filtering","preserve","list_dashboards","adapter","Adapter must normalize built-in schema to legacy expectations where still needed"
"tool","superset_dashboard_get_by_id","Get dashboard by numeric ID","backend/ai_agent.py asset info flows","Raw GET /api/v1/dashboard/<id> response","known_good","Simple REST wrapper; dashboard detail is product-facing","Return dashboard metadata in a stable schema","preserve","get_dashboard_info","adapter","Built-in tool also supports UUID and slug"
"tool","superset_dashboard_create","Create empty dashboard","backend/ai_agent.py create flows; direct REST analogue in backend/us13_15_viz_service.py","Custom CSRF/session flow; may return success, warning, or detailed error dicts","flaky","Custom code path in superset-mcp/main.py","Create dashboards reliably without brittle CSRF handling","fix","mcp_ext.create_empty_dashboard","custom_extension","Built-in generate_dashboard requires at least one chart"
"tool","superset_dashboard_update","Update dashboard with raw payload","backend/ai_agent.py full tool exposure only","PUT /api/v1/dashboard/<id> with raw data","unknown","Source code only; no confirmed product call site","Support only the dashboard mutations the product actually needs","drop","","drop","Current product use case is dashboard generation and add-chart flow, not generic raw updates"
"tool","superset_dashboard_delete","Delete dashboard","backend/ai_agent.py full tool exposure only","DELETE wrapper returning a simple message","unknown","Source code only; no confirmed product call site","Do not keep admin delete capability unless a product use case needs it","drop","","drop","Out of current migration use-case scope"
"tool","superset_chart_list","List charts","backend/ai_agent.py browse flows","Raw GET /api/v1/chart response","known_good","Simple REST wrapper; chart browse is product-facing","List accessible charts with stable metadata","preserve","list_charts","adapter","Adapter should normalize response shape"
"tool","superset_chart_get_by_id","Get chart by numeric ID","backend/ai_agent.py asset info flows","Raw GET /api/v1/chart/<id> response","known_good","Simple REST wrapper; chart detail is product-facing","Return chart metadata in a stable schema","preserve","get_chart_info","adapter","Built-in tool also supports UUID lookup"
"tool","superset_chart_create","Create chart from raw Superset params","backend/ai_agent.py create flows; direct REST analogue in backend/us13_15_viz_service.py","Custom CSRF/session flow with raw viz_type and params payload; inconsistent success and error shapes","flaky","Custom create logic in superset-mcp/main.py","Create charts reliably, validate dataset access, and normalize errors","fix","generate_chart;mcp_ext.legacy_chart_create","direct;custom_extension","Use built-in generate_chart by default; keep the extension only for the remaining pie-chart compatibility gap"
"tool","superset_chart_update","Update chart with raw payload","backend/ai_agent.py full tool exposure only","PUT /api/v1/chart/<id> with raw data","unknown","Source code only; no confirmed product call site","Support chart updates through built-in validated schemas","fix","mcp_ext.legacy_chart_update","custom_extension","Needed only if strict legacy-compat adapter is required"
"tool","superset_chart_delete","Delete chart","backend/ai_agent.py full tool exposure only","DELETE wrapper returning a simple message","unknown","Source code only; no confirmed product call site","Do not keep delete capability unless product requires it","drop","","drop","Out of current migration use-case scope"
